Name,Size,AC,HP,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,CR,Overall
Aarakocra,Medium,12,0.5769230769230769,10,14,10,11,12,11,0,1,0,0,0,0,0.25,68
Aarakocra Simulacrum,Medium,12,0.2662721893491124,10,14,10,11,12,11,0,1,0,0,0,0,0.125,68
Aarakocra Spelljammer,Medium,12 (15 with mage armor),1.7751479289940828,9,14,11,17,12,11,2,2,0,0,0,0,6,74
Aartuk Elder,Large,16 (natural armor),3.328402366863905,18,10,15,12,14,12,0,0,0,0,0,0,2,81
Aartuk Starhorror,Medium,14 (natural armor),2.3076923076923075,12,10,14,13,16,10,0,1,0,0,0,0,2,75
Aartuk Weedling,Medium,15 (natural armor),1.6863905325443787,14,12,13,10,13,10,0,0,0,0,0,0,2,72
Aberrant Spirit,Medium,11 + the level of the spell (natural armor),1.7751479289940828,16,10,15,16,10,6,0,0,0,0,1,0,0,73
Abhorrent Overlord,Large,16 (natural armor),6.035502958579881,20,18,16,15,14,16,2,3,0,2,1,1,9,99
Abjurer Wizard,Medium,12 (15 with mage armor),4.615384615384615,9,14,14,18,12,11,2,2,0,0,0,0,9,78
Aboleth,Large,17 (natural armor),5.991124260355029,21,9,15,18,15,18,3,2,0,0,0,0,10,96
Aboleth Spawn,Medium,14 (natural armor),4.127218934911243,19,11,18,7,12,9,0,1,0,1,0,2,5,76
Abominable Yeti,Huge,15 (natural armor),6.079881656804734,24,10,22,9,13,9,0,2,0,0,1,0,9,87
Abyssal Chicken,Tiny,13 (natural armor),0.4437869822485207,6,14,13,4,9,5,0,0,0,3,1,2,0.25,51
Abyssal Wretch,Medium,11,0.7988165680473372,9,12,11,5,8,5,0,0,0,3,1,3,0.25,50
Acolyte,Medium,10,0.3994082840236686,10,10,10,10,14,11,0,2,0,0,0,0,0.25,65
Adult Amethyst Dragon,Huge,19 (natural armor),10.162721893491124,25,14,25,20,17,21,4,4,0,2,0,2,16,122
Adult Black Dragon,Huge,19 (natural armor),8.653846153846153,23,14,21,14,13,17,4,2,0,0,1,0,14,102
Adult Blue Dracolich,Huge,19 (natural armor),9.985207100591715,25,10,23,16,15,19,4,2,0,1,2,5,17,108
Adult Blue Dragon,Huge,19 (natural armor),9.985207100591715,25,10,23,16,15,19,4,2,0,0,1,0,16,108
Adult Brass Dragon,Huge,18 (natural armor),7.633136094674556,23,10,21,14,13,17,4,4,0,0,1,0,13,98
Adult Bronze Dragon,Huge,19 (natural armor),9.408284023668639,25,10,23,16,15,19,4,3,0,0,1,0,15,108
Adult Copper Dragon,Huge,18 (natural armor),8.165680473372781,23,12,21,18,15,17,4,3,0,0,1,0,14,106
Adult Crystal Dragon,Huge,16 (natural armor),7.633136094674556,21,12,21,18,15,19,4,3,0,2,0,0,12,106
Adult Deep Dragon,Huge,17 (natural armor),6.523668639053254,20,14,18,16,16,18,4,3,0,2,0,3,11,102
Adult Emerald Dragon,Huge,18 (natural armor),9.186390532544378,23,12,21,18,16,18,4,4,0,2,0,0,14,108
Adult Gold Dragon,Huge,19 (natural armor),11.36094674556213,27,14,25,16,15,24,4,4,0,0,1,0,17,121
Adult Green Dragon,Huge,19 (natural armor),9.186390532544378,23,12,21,18,15,17,4,5,0,0,1,1,15,106
Adult Kruthik,Medium,18 (natural armor),1.7307692307692306,15,16,15,7,12,8,0,1,0,0,0,0,2,73
Adult Lunar Dragon,Huge,17 (natural armor),7.633136094674556,23,12,20,10,13,15,2,2,0,0,1,0,13,93
Adult Moonstone Dragon,Huge,19 (natural armor),8.653846153846153,20,18,20,22,20,23,3,3,0,0,0,1,15,123
Adult Oblex,Medium,14,3.328402366863905,8,19,16,19,12,15,2,6,0,0,0,5,5,89
Adult Red Dracolich,Huge,19 (natural armor),11.36094674556213,27,10,25,16,13,21,4,2,0,1,2,5,17,112
Adult Red Dragon,Huge,19 (natural armor),11.36094674556213,27,10,25,16,13,21,4,2,0,0,1,0,17,112
Adult Sapphire Dragon,Huge,18 (natural armor),9.985207100591715,23,14,22,18,17,18,4,4,0,2,0,1,15,112
Adult Silver Dragon,Huge,19 (natural armor),10.784023668639053,27,10,25,16,13,21,4,4,0,0,1,0,16,112
Adult Solar Dragon,Huge,17 (natural armor),8.875739644970414,24,15,22,15,16,14,4,2,0,0,1,1,14,106
Adult Topaz Dragon,Huge,18 (natural armor),9.319526627218934,19,12,19,18,17,18,4,3,0,2,0,0,13,103
Adult White Dragon,Huge,18 (natural armor),8.875739644970414,22,10,22,8,12,12,4,2,0,0,1,0,13,86
Aeorian Absorber,Large,15 (natural armor),7.5887573964497035,21,18,18,6,14,8,2,3,0,0,2,0,10,85
Aeorian Nullifier,Large,17 (natural armor),7.988165680473372,19,14,18,7,14,18,2,2,0,0,2,0,12,90
Aeorian Reverser,Large,15 (natural armor),5.902366863905325,21,16,18,6,14,8,2,3,0,0,2,0,8,83
Air Elemental,Large,15,3.994082840236686,14,20,14,6,10,6,0,0,0,4,1,8,5,70
Air Elemental Myrmidon,Medium,18 (plate),5.192307692307692,18,14,14,9,10,10,0,0,0,4,1,4,7,75
Akroan Hoplite,Medium,"18 (breastplate, shield)",2.3076923076923075,16,16,14,11,14,13,2,0,0,0,0,0,3,84
Albino Dwarf Spirit Warrior,Medium,13 (hide armor),1.331360946745562,13,13,17,12,14,11,0,3,0,1,0,0,1,80
Albino Dwarf Warrior,Medium,13 (hide armor),1.331360946745562,13,13,17,12,14,11,0,3,0,1,0,0,0.25,80
Aldani (Lobsterfolk),Medium,14 (natural armor),2.1745562130177514,13,8,12,10,14,10,0,2,0,0,0,0,1,67
Alhoon,Medium,15 (natural armor),6.65680473372781,11,12,16,19,17,17,4,6,0,3,1,5,10,92
Alkilith,Medium,17 (natural armor),7.455621301775148,12,19,22,6,11,7,2,1,0,6,1,3,11,77
Allip,Medium,13,1.7751479289940828,6,17,10,17,15,16,2,2,0,6,3,9,5,81
Allosaurus,Large,13 (natural armor),2.2633136094674553,19,13,17,2,12,5,0,1,0,0,0,0,2,68
Allowak Abominable Yeti,Huge,15 (natural armor),6.079881656804734,24,10,22,16,13,10,0,2,0,0,1,0,9,95
Allowak Yeti,Large,12 (natural armor),2.2633136094674553,18,13,16,16,12,10,0,2,0,0,1,0,3,85
Almiraj,Small,13,0.1331360946745562,2,16,10,2,14,10,0,2,0,0,0,0,0,54
Alseid,Medium,15 (natural armor),0.9763313609467456,15,10,12,13,14,18,0,1,0,1,1,3,1,82
Alyxian Aboleth,Large,17 (natural armor),5.991124260355029,21,9,15,18,18,18,3,2,0,0,0,0,12,99
Alyxian the Hunter,Medium,17 (natural armor),7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10,66
Amber Golem,Large,17 (natural armor),7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10,66
Ambush Drake,Medium,13 (natural armor),0.9763313609467456,13,15,14,4,11,6,0,2,0,1,0,0,0.5,63
Amethyst Dragon Wyrmling,Medium,17 (natural armor),3.328402366863905,19,10,17,16,13,17,4,4,0,2,0,2,4,92
Amethyst Greatwyrm,Gargantuan,21 (natural armor),22.5,28,14,29,30,24,25,4,3,0,0,1,4,26,150
Amnizu,Medium,21 (natural armor),8.964497041420119,11,13,16,20,12,18,4,1,0,3,2,2,18,90
Amphisbaena,Medium,14,0.4881656804733728,14,18,12,3,10,3,0,1,0,0,0,0,0.5,60
Amphisbaena,Huge,12,2.662721893491124,19,14,12,1,10,3,0,1,0,0,0,0,3,59
Anarch,Medium,13 (hide armor),0.4881656804733728,14,13,12,9,11,10,0,2,0,0,0,0,0.25,69
Anchorite of Talos,Medium,13 (hide armor),2.57396449704142,16,13,14,9,15,12,0,3,0,0,0,0,3,79
Ancient Amethyst Dragon,Gargantuan,20 (natural armor),19.704142011834318,26,14,27,26,19,23,4,4,0,2,0,2,23,135
Ancient Black Dragon,Gargantuan,22 (natural armor),16.286982248520708,27,14,25,16,15,19,4,2,0,0,1,0,21,116
Ancient Blue Dragon,Gargantuan,22 (natural armor),21.346153846153847,29,10,27,18,17,21,4,2,0,0,1,0,23,122
Ancient Brass Dragon,Gargantuan,20 (natural armor),13.180473372781064,27,10,25,16,15,19,4,4,0,0,1,0,20,112
Ancient Bronze Dragon,Gargantuan,22 (natural armor),19.704142011834318,29,10,27,18,17,21,4,3,0,0,1,0,22,122
Ancient Copper Dragon,Gargantuan,21 (natural armor),15.532544378698224,27,12,25,20,17,19,4,3,0,0,1,0,21,120
Ancient Crystal Dragon,Gargantuan,20 (natural armor),9.852071005917159,25,12,26,20,16,21,4,3,0,2,0,0,19,120
Ancient Deep Crow,Huge,18 (natural armor),8.298816568047338,23,16,23,10,15,19,2,2,0,3,0,0,15,106
Ancient Deep Dragon,Gargantuan,20 (natural armor),8.920118343195266,23,16,20,19,18,21,4,3,0,2,0,3,18,117
Ancient Dragon Turtle,Gargantuan,22 (natural armor),18.150887573964496,28,12,29,14,19,15,3,1,0,0,2,3,24,117
Ancient Emerald Dragon,Gargantuan,20 (natural armor),14.733727810650887,25,12,25,20,18,20,4,4,0,2,0,0,21,120
Ancient Gold Dragon,Gargantuan,22 (natural armor),24.23076923076923,30,14,29,18,17,28,4,4,0,0,1,0,24,136
Ancient Green Dragon,Gargantuan,21 (natural armor),17.085798816568047,27,12,25,20,17,19,4,5,0,0,1,1,22,120
Ancient Lunar Dragon,Gargantuan,18 (natural armor),13.180473372781064,27,12,24,12,15,17,2,2,0,0,1,0,19,107
Ancient Moonstone Dragon,Gargantuan,20 (natural armor),14.644970414201183,22,18,23,20,22,26,3,3,0,0,0,1,21,131
Ancient Red Dragon,Gargantuan,22 (natural armor),24.23076923076923,30,10,29,18,15,23,4,2,0,0,1,0,24,125
Ancient Sapphire Dragon,Gargantuan,20 (natural armor),16.420118343195266,27,14,27,21,19,20,4,4,0,2,0,1,22,128
Ancient Sea Serpent,Gargantuan,17 (natural armor),7.544378698224851,24,15,20,13,16,12,2,2,0,0,1,0,14,100
Ancient Silver Dragon,Gargantuan,22 (natural armor),21.612426035502956,30,10,29,18,15,23,4,4,0,0,1,0,23,125
