Name,AC,HP,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,CR,gargantuan,huge,large,medium,or,small,tiny,Overall
Aarakocra,12,0.5769230769230769,10,14,10,11,12,11,0,1,0,0,0,0,0.25,0,0,0,1,0,0,0,68
Aarakocra Simulacrum,12,0.2662721893491124,10,14,10,11,12,11,0,1,0,0,0,0,0.125,0,0,0,1,0,0,0,68
Aarakocra Spelljammer,12,1.7751479289940828,9,14,11,17,12,11,2,2,0,0,0,0,6,0,0,0,1,0,0,0,74
Aartuk Elder,16,3.328402366863905,18,10,15,12,14,12,0,0,0,0,0,0,2,0,0,1,0,0,0,0,81
Aartuk Starhorror,14,2.3076923076923075,12,10,14,13,16,10,0,1,0,0,0,0,2,0,0,0,1,0,0,0,75
Aartuk Weedling,15,1.6863905325443787,14,12,13,10,13,10,0,0,0,0,0,0,2,0,0,0,1,0,0,0,72
Aberrant Spirit,11,1.7751479289940828,16,10,15,16,10,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,73
Abhorrent Overlord,16,6.035502958579881,20,18,16,15,14,16,2,3,0,2,1,1,9,0,0,1,0,0,0,0,99
Abjurer Wizard,12,4.615384615384615,9,14,14,18,12,11,2,2,0,0,0,0,9,0,0,0,1,0,0,0,78
Aboleth,17,5.991124260355029,21,9,15,18,15,18,3,2,0,0,0,0,10,0,0,1,0,0,0,0,96
Aboleth Spawn,14,4.127218934911243,19,11,18,7,12,9,0,1,0,1,0,2,5,0,0,0,1,0,0,0,76
Abominable Yeti,15,6.079881656804734,24,10,22,9,13,9,0,2,0,0,1,0,9,0,1,0,0,0,0,0,87
Abyssal Chicken,13,0.4437869822485207,6,14,13,4,9,5,0,0,0,3,1,2,0.25,0,0,0,0,0,0,1,51
Abyssal Wretch,11,0.7988165680473372,9,12,11,5,8,5,0,0,0,3,1,3,0.25,0,0,0,1,0,0,0,50
Acolyte,10,0.3994082840236686,10,10,10,10,14,11,0,2,0,0,0,0,0.25,0,0,0,1,0,0,0,65
Adult Amethyst Dragon,19,10.162721893491124,25,14,25,20,17,21,4,4,0,2,0,2,16,0,1,0,0,0,0,0,122
Adult Black Dragon,19,8.653846153846153,23,14,21,14,13,17,4,2,0,0,1,0,14,0,1,0,0,0,0,0,102
